month,member_casual,number_of_rides,average_duration
Jan,casual,39236,23.363135895606074
Jan,member,146784,10.605822160453455
Feb,casual,42204,23.63695384323761
Feb,member,143988,10.965538794899574
Mar,casual,60887,21.871368272373413
Mar,member,191360,10.716753762541806
Apr,casual,144132,28.27562234618266
Apr,member,272107,12.000771755228643
May,casual,229817,29.059229734963036
May,member,363084,13.309278293728173
Jun,casual,364447,32.503107447722165
Jun,member,394682,14.191794913373299
Jul,casual,400737,29.664745206956184
Jul,member,411409,13.9175346188343
Aug,casual,353999,29.716863606959336
Aug,member,420732,13.582534725193234
Sep,casual,292783,28.357513926696555
Sep,member,398828,13.162613958899575
Oct,casual,205974,26.77179644032742
Oct,member,344350,12.143075359372732
Nov,casual,99173,21.636947556290522
Nov,member,233423,11.298132574767697
Dec,casual,44114,22.6796255157093
Dec,member,134456,10.813968882013446
