start_station_name,member_casual,number_of_rides
Ada St & 119th St,member,1
Albany Ave & 103rd St,member,1
Albany Ave & 111th St - NW,casual,1
Archer Park,member,1
Ashland Ave & 73rd St,casual,1
Ashland Ave & 73rd St,member,1
Ashland Ave & 76th St,member,1
Austin Ave & Wrightwood Ave,member,1
Avenue J & 102nd St,member,1
Avenue M & 132nd St,member,1
Avers Ave & Archer Ave,member,1
Avers Ave & Ogden Ave,member,1
Avondale Ave & Addison St,member,1
Bell Ave & 95th St,member,1
Bennett Ave & 96th St,member,1
Bensley Ave & 103rd St,member,1
Brandon Ave & 91st St,casual,1
Buffalo Ave & 133rd St,casual,1
Buffalo Ave & 133rd St,member,1
California Ave & Touhy Ave - SW,member,1
Calumet Ave & 103rd St,member,1
Canty Elementary School,casual,1
Central Ave & Corcoran Pl,member,1
Central Ave & George St,casual,1
Chase Ave & Touhy Ave - NW,casual,1
Chase Ave & Touhy Ave - NW,member,1
Chopin Park,casual,1
Christiana Ave & Bryn Mawr Ave,member,1
Cicero Ave & Cortland St - midblock,member,1
Cicero Ave & Le Moyne St - midblock,casual,1
Cicero Ave & North Ave,member,1
Cicero Ave & Wellington Ave,casual,1
City Rack - Albany Ave & 103rd St,casual,1
Corliss Ave & 103rd St,member,1
Corliss Ave & 133rd St,casual,1
Cornell Dr & Hayes Dr,casual,1
Cottage Grove & 84th St,member,1
Cottage Grove Ave & 92nd St,casual,1
Cottage Grove Ave & 92nd St,member,1
Damen Ave & 80th St,member,1
Damen Ave & 84th St,casual,1
Divvy Valet - Oakwood Beach,member,1
Drexel Ave & 87th St,casual,1
Drexel Ave & 87th St,member,1
East End Ave & 75th St,member,1
Ewing Ave & 101st St,casual,1
Ewing Ave & 106th St,member,1
Ewing Ave & 96th St,member,1
Grand Ave & North Ave,member,1
Greenwood Ave & 87th St,casual,1
Hale Ave & 111th St,casual,1
Hale Ave & 111th St,member,1
Halsted St & 102nd St,casual,1
Hamlin Ave & Chicago Ave,member,1
Harvey Ave & North Ave,member,1
Homan Ave & 26th St,casual,1
Honore St & 87th St - SE,casual,1
Jeffery Blvd & 83rd St,member,1
Justine St & 87th St,member,1
Karlov Ave & Milwaukee Ave,casual,1
Karlov Ave & Milwaukee Ave,member,1
Kedvale Ave & Addison St,casual,1
Kedvale Ave & Addison St,member,1
Kedzie & 103rd St - West,member,1
Kedzie Ave & 64th St - SE,casual,1
Kildare Ave & 63rd St,member,1
Kildare Ave & Division Ave,member,1
Kildare Ave & Washignton Blvd,casual,1
Kildare Ave & Washignton Blvd,member,1
Kimbark Ave & 63rd St,casual,1
Kimbark Ave & 63rd St,member,1
King Dr & 83rd St,casual,1
Kostner Ave & North Ave,member,1
Laflin St & 51st St,casual,1
Laflin St & 79th St,casual,1
Lake Park Ave & 44th St,member,1
Latrobe Ave & Lake St,casual,1
Lavergne Ave & 46th St,member,1
Lawrence Ave & 103rd St,member,1
Linder Ave & Belmont Ave,casual,1
Loomis Blvd & 83rd St,casual,1
Lorel Ave & Chicago Ave,casual,1
Lorel Ave & Chicago Ave,member,1
Lowe Ave & 98th St,member,1
Lowe Park,casual,1
Mackinaw Ave & 85th St,member,1
Marquette Ave & 83rd St,member,1
Martin Luther King Dr & 69th St,member,1
Maryland Ave & 87th ST,member,1
May St & 63rd St,casual,1
May St & 78th St,casual,1
McCormick Blvd & Devon Ave,member,1
Melvina Ave & Belmont Ave,casual,1
Menard Ave & Adams Blvd,casual,1
Menard Ave & Belmont Ave,member,1
Menard Ave & Madison St,member,1
Michigan Ave & 102nd St,casual,1
Michigan Ave & 110th St,member,1
Michigan Ave & 113th St,casual,1
Morgan St & 103rd St,casual,1
Muskegon Ave & 89th St,casual,1
N Sayre Ave & W Belden Ave,casual,1
Narragansett Ave & Fullerton Ave,member,1
New England Ave & Grace St,casual,1
New England Ave & Grace St,member,1
Newcastle Ave & Belmont Ave,member,1
Newcastle Ave & Wellington Ave,casual,1
Newland Ave & Diversey Ave,member,1
Nordica Ave & Addison St,member,1
Oglesby Ave & 105th St,member,1
Oketo Ave & Belmont Ave,member,1
Oleander Ave & Addison St,member,1
Orville T Bright School,casual,1
Panama Ave & Forest Preserve Ave,casual,1
Park Manor Elementary School,casual,1
Percy Julian HS,member,1
Piotrowski Park,casual,1
Piotrowski Park,member,1
Pittsburgh Ave & Irving Park,member,1
Plainfield Ave & Irving Park Rd,casual,1
Plainfield Ave & Irving Park Rd,member,1
Public Rack - 4810 Keeler Ave,casual,1
Public Rack - 53rd St & Indiana Ave,casual,1
Public Rack - 63rd & Western Ave N,member,1
Public Rack - 63rd St and Natoma Ave,casual,1
Public Rack - Ada St & 119th St,casual,1
Public Rack - Ada St & 95th St,member,1
Public Rack - Albany Ave & 111th St - NW,casual,1
Public Rack - Archer Park,member,1
Public Rack - Artesian & 71st,member,1
Public Rack - Ashland Ave & 45th St  S,casual,1
Public Rack - Ashland Ave & 74th St,member,1
Public Rack - Ashland Ave & 83rd St,member,1
Public Rack - Austin Ave & Wellington Ave - midblock,member,1
Public Rack - Ave L & 105th St,casual,1
Public Rack - Avenue J & 102nd St,casual,1
Public Rack - Avenue J & 106th St,member,1
Public Rack - Avenue J & 112th St,member,1
Public Rack - Avenue M & 132nd St,casual,1
Public Rack - Avers & Granville,casual,1
Public Rack - Bernard St & Foster Ave,casual,1
Public Rack - Bernard St & Foster Ave,member,1
Public Rack - Brighton Park Branch Chicago Library,member,1
Public Rack - Bryn Mawr Ave & Spaulding Ave,casual,1
Public Rack - Bryn Mawr Ave & Spaulding Ave,member,1
Public Rack - Buffalo Ave & 89th St,casual,1
Public Rack - Burnside Academy,casual,1
Public Rack - Calumet Ave & Garfield Blvd,member,1
Public Rack - Canty Elementary School,casual,1
Public Rack - Canty Elementary School,member,1
Public Rack - Central & Berteau,casual,1
Public Rack - Central Ave & Adams St,casual,1
Public Rack - Central Ave & Congress Pkwy,casual,1
Public Rack - Central Ave & Lawrence Ave,member,1
Public Rack - Central Park & Peterson,member,1
Public Rack - Central Park Ave & Fulton Blvd,member,1
Public Rack - Chappel Ave & 71st St,casual,1
Public Rack - Christiana & Lincoln,casual,1
Public Rack - Christiana Ave & 111th St,casual,1
Public Rack - Cicero Ave & Belle Plaine Ave,member,1
