member_casual,weekday,number_of_rides,average_duration
casual,Sun,369943,33.88562021716859
casual,Mon,254072,27.960511193677387
casual,Tue,266853,25.669784488088954
casual,Wed,287511,24.30644044923498
casual,Thu,308661,24.737174440567482
casual,Fri,341435,27.768916484836055
casual,Sat,449028,32.5618046090667
member,Sun,387504,14.09754479953755
member,Mon,463154,12.054651368659236
member,Tue,542981,12.190045323869528
member,Wed,569577,12.115966761298298
member,Thu,554805,12.249584989320574
member,Fri,492473,12.566416839095746
member,Sat,444709,14.161145827945914
